,age,height,shoulder_height,arms_reach,knee_height,leg_length
count,4598.0,4598.0,4598.0,4598.0,4598.0,4598.0
mean,22.16463679860809,176.30769899956505,147.6482383645063,82.35513266637669,54.81555023923445,104.96709438886471
std,6.0495087765502005,27.579746643893532,30.430786395605,8.227835915495092,5.239306068018307,9.303911749817226
min,12.0,18.0,10.0,0.0,10.0,11.5
25%,19.0,169.0,140.0,77.0,52.0,100.0
50%,21.0,176.0,147.0,82.0,55.0,105.0
75%,22.0,183.0,153.1,87.5,58.0,110.0
max,81.0,1925.0,1563.0,156.0,126.0,150.0
var,36.59655643755791,760.6424249413565,926.0327606549383,67.69728385231096,27.45032807437345,86.56277384838704
mode,19.0,180.0,150.0,80.0,54.0,110.0
IQR,3.0,14.0,13.099999999999994,10.5,6.0,10.0
skewness,4.308828315554944,55.40974683528797,40.39576885694381,0.827328454114664,0.4920692980463674,-0.5633917736382645
kurtosis,23.612030337144105,3513.7864071862664,1833.136557349232,9.688472364937756,14.813841367500029,5.579691926819839
